method,nu,seed,rel_l2,wall_time_s,loss_pde,loss_bc,loss_total,final_nfe,nan_divergence,n_collocation_points
RAR-SCIO,0.1,42,0.004040931565619185,11.53726863861084,3.8579913962166756e-05,2.177857894025692e-09,3.8582093111472204e-05,809,False,550
RAR-SCIO,0.1,123,0.002882015924661566,11.363042116165161,9.217431215802208e-05,6.3728577970323386e-09,9.21806858968921e-05,805,False,550
RAR-SCIO,0.1,7,0.0017954459306450921,9.505942583084106,1.781218270480167e-05,5.1159076974727213e-11,1.781223363650497e-05,805,False,550
RAR-SCIO,0.01,42,6.770138670538287,10.619930267333984,0.5725293755531311,0.01359472330659628,0.5861241221427917,804,False,550
RAR-SCIO,0.01,123,6.834822799012381,11.27975583076477,0.5242412090301514,0.012004516087472439,0.5362457036972046,814,False,550
RAR-SCIO,0.01,7,9.042741760559533,11.244145393371582,0.50057452917099,0.010045112110674381,0.5106196403503418,803,False,550
RAR-SCIO,0.001,42,20.64175963149287,10.201605319976807,0.5658004283905029,0.012069761753082275,0.5778701901435852,806,False,550
RAR-SCIO,0.001,123,21.034346093412644,10.531196117401123,0.6120134592056274,0.0162950549274683,0.6283085346221924,803,False,550
RAR-SCIO,0.001,7,23.27476393142562,10.527222871780396,0.6442152857780457,0.02009790949523449,0.6643131971359253,805,False,550
RAR-SCIO,0.0001,42,20.82253021604575,11.139045000076294,0.5570743680000305,0.013023716397583485,0.5700981020927429,807,False,550
RAR-SCIO,0.0001,123,21.231509634805487,31.141890048980713,0.5635919570922852,0.013756321743130684,0.5773482918739319,803,False,550
RAR-SCIO,0.0001,7,29.134239159491763,97.49095892906189,0.6049674153327942,0.015294983983039856,0.6202623844146729,810,False,550
RAR-SCIO,1e-05,42,23.287424905654504,88.94094920158386,0.643463134765625,0.025073625147342682,0.6685367822647095,814,False,550
RAR-SCIO,1e-05,123,24.622397159599913,88.23264217376709,0.5631567239761353,0.015624222345650196,0.5787809491157532,811,False,550
RAR-SCIO,1e-05,7,25.187538956050833,26.22935175895691,0.7930110096931458,0.026813184842467308,0.81982421875,807,False,550
RAD-SCIO,0.1,42,0.0005835561214305727,11.16069483757019,4.246785920258844e-06,1.9344525981068728e-10,4.246979187882971e-06,802,False,512
RAD-SCIO,0.1,123,0.0005423778007918431,9.336750268936157,2.7874055376742035e-05,6.266986929404084e-10,2.787468292808626e-05,818,False,512
RAD-SCIO,0.1,7,0.0006533024366721872,7.997452974319458,2.2820400772616267e-05,6.600942015211331e-10,2.2821061065769754e-05,806,False,512
RAD-SCIO,0.01,42,7.635440437370291,10.662254333496094,0.9142512679100037,0.03356756642460823,0.9478188157081604,810,False,512
RAD-SCIO,0.01,123,7.585445439136357,10.240825653076172,0.8996254205703735,0.035976164042949677,0.9356015920639038,805,False,512
RAD-SCIO,0.01,7,7.644003916696883,9.618536710739136,0.9255268573760986,0.03792574256658554,0.9634525775909424,817,False,512
RAD-SCIO,0.001,42,20.231282166850647,10.714673519134521,0.9142708778381348,0.03976910933852196,0.954039990901947,807,False,512
RAD-SCIO,0.001,123,20.18254768152637,11.540249586105347,0.9096235632896423,0.034913256764411926,0.9445368051528931,807,False,512
RAD-SCIO,0.001,7,20.256569453803905,9.810305833816528,0.9178545475006104,0.04019824042916298,0.9580528140068054,801,False,512
RAD-SCIO,0.0001,42,25.288811118757366,10.384251594543457,0.9079681038856506,0.036166589707136154,0.9441347122192383,820,False,512
RAD-SCIO,0.0001,123,25.32266475283283,11.055066108703613,0.9137414693832397,0.03672061115503311,0.9504621028900146,810,False,512
RAD-SCIO,0.0001,7,25.545145335093242,9.5502188205719,0.9214325547218323,0.03709022328257561,0.9585227966308594,811,False,512
RAD-SCIO,1e-05,42,25.72254552986496,10.17442798614502,0.9268915057182312,0.04411550238728523,0.9710069894790649,809,False,512
RAD-SCIO,1e-05,123,25.259677274858195,9.316895484924316,0.9212149381637573,0.03589232638478279,0.9571072459220886,810,False,512
RAD-SCIO,1e-05,7,25.531637605195744,8.73144245147705,0.9235066771507263,0.03610735386610031,0.9596140384674072,811,False,512
