method,nu,seed,rel_l2,wall_time_s,final_loss,final_nfe,nan_divergence,inf_norm_J,best_w,failure_mode
SCIO,0.1,42,0.006574094295501709,11.695794343948364,0.0003806746972259134,806,False,nan,nan,converged
SCIO,0.1,123,0.0005377530469559133,11.467042207717896,3.44857107847929e-05,804,False,nan,nan,converged
SCIO,0.1,7,0.0026189086493104696,7.778576374053955,6.92280736984685e-05,803,False,nan,nan,converged
SCIO,0.01,42,0.03080972284078598,11.188260078430176,0.0014459264930337667,802,False,nan,nan,converged
SCIO,0.01,123,7.738401889801025,7.623376369476318,0.961128294467926,808,False,nan,nan,representation
SCIO,0.01,7,7.783055305480957,8.933109521865845,0.9531219601631165,813,False,nan,nan,representation
SCIO,0.001,42,28.234399795532227,11.090033292770386,0.0017722324701026082,810,False,nan,nan,optimizer_stuck
SCIO,0.001,123,20.638139724731445,6.416154384613037,0.957126796245575,815,False,nan,nan,representation
SCIO,0.001,7,20.68254280090332,6.055031776428223,0.956116259098053,804,False,nan,nan,representation
SCIO,0.0001,42,35.44409942626953,11.067972898483276,0.013234874233603477,810,False,nan,nan,optimizer_stuck
SCIO,0.0001,123,26.03594970703125,25.601187705993652,0.9564971327781677,808,False,nan,nan,representation
SCIO,0.0001,7,26.08043098449707,81.73081469535828,0.9561771750450134,809,False,nan,nan,representation
SCIO,1e-05,42,14.761520385742188,18.879491329193115,0.007787097245454788,806,False,nan,nan,optimizer_stuck
SCIO,1e-05,123,26.033065795898438,6.608098030090332,0.9522790908813477,814,False,nan,nan,representation
SCIO,1e-05,7,26.31072235107422,9.544442415237427,0.9379736185073853,815,False,nan,nan,representation
